region_id,city,location,country,
2004,Afghanistan,Afghanistan,Afghanistan,
2008,Albania,Albania,Albania,
2010,Antarctica,Antarctica,Antarctica,
2012,Algeria,Algeria,Algeria,
2016,American Samoa,American Samoa,American Samoa,
2020,Andorra,Andorra,Andorra,
2024,Angola,Angola,Angola,
2028,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,
2031,Azerbaijan,Azerbaijan,Azerbaijan,
2032,Argentina,Argentina,Argentina,
2036,Australia,Australia,Australia,
2040,Austria,Austria,Austria,
2044,The Bahamas,The Bahamas,The Bahamas,
2048,Bahrain,Bahrain,Bahrain,
2050,Bangladesh,Bangladesh,Bangladesh,
2051,Armenia,Armenia,Armenia,
2052,Barbados,Barbados,Barbados,
2056,Belgium,Belgium,Belgium,
2060,Bermuda,Bermuda,Bermuda,
2064,Bhutan,Bhutan,Bhutan,
2068,Bolivia,Bolivia,Bolivia,
2070,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,
2072,Botswana,Botswana,Botswana,
2074,Bouvet Island,Bouvet Island,Bouvet Island,
2076,Brazil,Brazil,Brazil,
2084,Belize,Belize,Belize,
2086,British Indian Ocean Territory,British Indian Ocean Territory,British Indian Ocean Territory,
2090,Solomon Islands,Solomon Islands,Solomon Islands,
2092,British Virgin Islands,British Virgin Islands,British Virgin Islands,
2096,Brunei,Brunei,Brunei,
2100,Bulgaria,Bulgaria,Bulgaria,
2104,Myanmar (Burma),Myanmar (Burma),Myanmar (Burma),
2108,Burundi,Burundi,Burundi,
2112,Belarus,Belarus,Belarus,
2116,Cambodia,Cambodia,Cambodia,
2120,Cameroon,Cameroon,Cameroon,
2124,Canada,Canada,Canada,
2132,Cape Verde,Cape Verde,Cape Verde,
2136,Cayman Islands,Cayman Islands,Cayman Islands,
2140,Central African Republic,Central African Republic,Central African Republic,
2144,Sri Lanka,Sri Lanka,Sri Lanka,
2148,Chad,Chad,Chad,
2152,Chile,Chile,Chile,
2156,China,China,China,
2158,Taiwan,Taiwan,Taiwan,
2162,Christmas Island,Christmas Island,Christmas Island,
2166,Cocos (Keeling) Islands,Cocos (Keeling) Islands,Cocos (Keeling) Islands,
2170,Colombia,Colombia,Colombia,
2174,Comoros,Comoros,Comoros,
2175,Mayotte,Mayotte,Mayotte,
2178,Republic of the Congo,Republic of the Congo,Republic of the Congo,
2180,Democratic Republic of the Congo,Democratic Republic of the Congo,Democratic Republic of the Congo,
2184,Cook Islands,Cook Islands,Cook Islands,
2188,Costa Rica,Costa Rica,Costa Rica,
2191,Croatia,Croatia,Croatia,
2196,Cyprus,Cyprus,Cyprus,
2203,Czechia,Czechia,Czechia,
2204,Benin,Benin,Benin,
2208,Denmark,Denmark,Denmark,
2212,Dominica,Dominica,Dominica,
2214,Dominican Republic,Dominican Republic,Dominican Republic,
2218,Ecuador,Ecuador,Ecuador,
2222,El Salvador,El Salvador,El Salvador,
2226,Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,
2231,Ethiopia,Ethiopia,Ethiopia,
2232,Eritrea,Eritrea,Eritrea,
